5.7500000000 13.4233937587
6.2500000000 14.2894191624
6.7500000000 13.4233937587
0.2500000000 0.4330127019
0.7500000000 1.2990381057
1.2500000000 2.1650635095
1.7500000000 3.0310889132
2.2500000000 3.8971143170
2.7500000000 4.7631397208
3.2500000000 5.6291651246
3.7500000000 6.4951905284
4.2500000000 7.3612159322
4.7500000000 8.2272413360
5.2500000000 9.0932667397
5.7500000000 9.9592921435
6.2500000000 10.8253175473
6.7500000000 11.6913429511
7.2500000000 12.5573683549
7.7500000000 13.4233937587
8.2500000000 14.2894191624
8.7500000000 15.1554445662
9.2500000000 16.0214699700
9.7500000000 16.8874953738
10.2500000000 17.7535207776
10.7500000000 18.6195461814
11.2500000000 19.4855715851
11.7500000000 20.3515969889
12.2500000000 21.2176223927
12.7500000000 22.0836477965
13.2500000000 22.9496732003
13.7500000000 23.8156986041
14.2500000000 24.6817240079
14.7500000000 25.5477494116
1.2500000000 0.4330127019
1.7500000000 1.2990381057
2.2500000000 2.1650635095
2.7500000000 3.0310889132
3.2500000000 3.8971143170
3.7500000000 4.7631397208
4.2500000000 5.6291651246
4.7500000000 6.4951905284
5.2500000000 7.3612159322
5.7500000000 8.2272413360
6.2500000000 9.0932667397
6.7500000000 9.9592921435
7.2500000000 10.8253175473
7.7500000000 11.6913429511
8.2500000000 12.5573683549
8.7500000000 13.4233937587
9.2500000000 14.2894191624
9.7500000000 15.1554445662
10.2500000000 16.0214699700
10.7500000000 16.8874953738
11.2500000000 17.7535207776
11.7500000000 18.6195461814
12.2500000000 19.4855715851
12.7500000000 20.3515969889
13.2500000000 21.2176223927
13.7500000000 22.0836477965
14.2500000000 22.9496732003
14.7500000000 23.8156986041
15.2500000000 24.6817240079
15.7500000000 25.5477494116
2.2500000000 0.4330127019
2.7500000000 1.2990381057
3.2500000000 2.1650635095
3.7500000000 3.0310889132
4.2500000000 3.8971143170
4.7500000000 4.7631397208
5.2500000000 5.6291651246
5.7500000000 6.4951905284
6.2500000000 7.3612159322
6.7500000000 8.2272413360
7.2500000000 9.0932667397
7.7500000000 9.9592921435
8.2500000000 10.8253175473
8.7500000000 11.6913429511
9.2500000000 12.5573683549
9.7500000000 13.4233937587
10.2500000000 14.2894191624
10.7500000000 15.1554445662
11.2500000000 16.0214699700
11.7500000000 16.8874953738
12.2500000000 17.7535207776
12.7500000000 18.6195461814
13.2500000000 19.4855715851
13.7500000000 20.3515969889
14.2500000000 21.2176223927
14.7500000000 22.0836477965
15.2500000000 22.9496732003
15.7500000000 23.8156986041
16.2500000000 24.6817240079
16.7500000000 25.5477494116
3.2500000000 0.4330127019
3.7500000000 1.2990381057
4.2500000000 2.1650635095
4.7500000000 3.0310889132
5.2500000000 3.8971143170
5.7500000000 4.7631397208
6.2500000000 5.6291651246
6.7500000000 6.4951905284
7.2500000000 7.3612159322
7.7500000000 8.2272413360
8.2500000000 9.0932667397
8.7500000000 9.9592921435
9.2500000000 10.8253175473
9.7500000000 11.6913429511
10.2500000000 12.5573683549
10.7500000000 13.4233937587
11.2500000000 14.2894191624
11.7500000000 15.1554445662
12.2500000000 16.0214699700
12.7500000000 16.8874953738
13.2500000000 17.7535207776
13.7500000000 18.6195461814
14.2500000000 19.4855715851
14.7500000000 20.3515969889
15.2500000000 21.2176223927
15.7500000000 22.0836477965
16.2500000000 22.9496732003
16.7500000000 23.8156986041
17.2500000000 24.6817240079
17.7500000000 25.5477494116
4.2500000000 0.4330127019
4.7500000000 1.2990381057
5.2500000000 2.1650635095
5.7500000000 3.0310889132
6.2500000000 3.8971143170
6.7500000000 4.7631397208
7.2500000000 5.6291651246
7.7500000000 6.4951905284
8.2500000000 7.3612159322
8.7500000000 8.2272413360
9.2500000000 9.0932667397
9.7500000000 9.9592921435
10.2500000000 10.8253175473
10.7500000000 11.6913429511
11.2500000000 12.5573683549
11.7500000000 13.4233937587
12.2500000000 14.2894191624
12.7500000000 15.1554445662
13.2500000000 16.0214699700
13.7500000000 16.8874953738
14.2500000000 17.7535207776
14.7500000000 18.6195461814
15.2500000000 19.4855715851
15.7500000000 20.3515969889
16.2500000000 21.2176223927
16.7500000000 22.0836477965
17.2500000000 22.9496732003
17.7500000000 23.8156986041
18.2500000000 24.6817240079
18.7500000000 25.5477494116
5.2500000000 0.4330127019
5.7500000000 1.2990381057
6.2500000000 2.1650635095
6.7500000000 3.0310889132
7.2500000000 3.8971143170
7.7500000000 4.7631397208
8.2500000000 5.6291651246
8.7500000000 6.4951905284
9.2500000000 7.3612159322
9.7500000000 8.2272413360
10.2500000000 9.0932667397
10.7500000000 9.9592921435
11.2500000000 10.8253175473
11.7500000000 11.6913429511
12.2500000000 12.5573683549
12.7500000000 13.4233937587
13.2500000000 14.2894191624
13.7500000000 15.1554445662
14.2500000000 16.0214699700
14.7500000000 16.8874953738
15.2500000000 17.7535207776
15.7500000000 18.6195461814
16.2500000000 19.4855715851
16.7500000000 20.3515969889
17.2500000000 21.2176223927
17.7500000000 22.0836477965
18.2500000000 22.9496732003
18.7500000000 23.8156986041
19.2500000000 24.6817240079
19.7500000000 25.5477494116
6.2500000000 0.4330127019
6.7500000000 1.2990381057
7.2500000000 2.1650635095
7.7500000000 3.0310889132
8.2500000000 3.8971143170
8.7500000000 4.7631397208
9.2500000000 5.6291651246
9.7500000000 6.4951905284
10.2500000000 7.3612159322
10.7500000000 8.2272413360
11.2500000000 9.0932667397
11.7500000000 9.9592921435
12.2500000000 10.8253175473
12.7500000000 11.6913429511
13.2500000000 12.5573683549
13.7500000000 13.4233937587
14.2500000000 14.2894191624
14.7500000000 15.1554445662
15.2500000000 16.0214699700
15.7500000000 16.8874953738
16.2500000000 17.7535207776
16.7500000000 18.6195461814
17.2500000000 19.4855715851
17.7500000000 20.3515969889
18.2500000000 21.2176223927
18.7500000000 22.0836477965
19.2500000000 22.9496732003
19.7500000000 23.8156986041
20.2500000000 24.6817240079
20.7500000000 25.5477494116
7.2500000000 0.4330127019
7.7500000000 1.2990381057
8.2500000000 2.1650635095
8.7500000000 3.0310889132
9.2500000000 3.8971143170
9.7500000000 4.7631397208
10.2500000000 5.6291651246
10.7500000000 6.4951905284
11.2500000000 7.3612159322
11.7500000000 8.2272413360
12.2500000000 9.0932667397
12.7500000000 9.9592921435
13.2500000000 10.8253175473
13.7500000000 11.6913429511
14.2500000000 12.5573683549
14.7500000000 13.4233937587
15.2500000000 14.2894191624
15.7500000000 15.1554445662
16.2500000000 16.0214699700
16.7500000000 16.8874953738
17.2500000000 17.7535207776
17.7500000000 18.6195461814
18.2500000000 19.4855715851
18.7500000000 20.3515969889
19.2500000000 21.2176223927
19.7500000000 22.0836477965
20.2500000000 22.9496732003
20.7500000000 23.8156986041
21.2500000000 24.6817240079
21.7500000000 25.5477494116
8.2500000000 0.4330127019
8.7500000000 1.2990381057
9.2500000000 2.1650635095
9.7500000000 3.0310889132
10.2500000000 3.8971143170
10.7500000000 4.7631397208
11.2500000000 5.6291651246
11.7500000000 6.4951905284
12.2500000000 7.3612159322
12.7500000000 8.2272413360
13.2500000000 9.0932667397
13.7500000000 9.9592921435
14.2500000000 10.8253175473
14.7500000000 11.6913429511
15.2500000000 12.5573683549
15.7500000000 13.4233937587
16.2500000000 14.2894191624
16.7500000000 15.1554445662
17.2500000000 16.0214699700
17.7500000000 16.8874953738
18.2500000000 17.7535207776
18.7500000000 18.6195461814
19.2500000000 19.4855715851
19.7500000000 20.3515969889
20.2500000000 21.2176223927
20.7500000000 22.0836477965
21.2500000000 22.9496732003
21.7500000000 23.8156986041
22.2500000000 24.6817240079
22.7500000000 25.5477494116
9.2500000000 0.4330127019
9.7500000000 1.2990381057
10.2500000000 2.1650635095
10.7500000000 3.0310889132
11.2500000000 3.8971143170
11.7500000000 4.7631397208
12.2500000000 5.6291651246
12.7500000000 6.4951905284
13.2500000000 7.3612159322
13.7500000000 8.2272413360
14.2500000000 9.0932667397
14.7500000000 9.9592921435
15.2500000000 10.8253175473
15.7500000000 11.6913429511
16.2500000000 12.5573683549
16.7500000000 13.4233937587
17.2500000000 14.2894191624
17.7500000000 15.1554445662
18.2500000000 16.0214699700
18.7500000000 16.8874953738
19.2500000000 17.7535207776
19.7500000000 18.6195461814
20.2500000000 19.4855715851
20.7500000000 20.3515969889
21.2500000000 21.2176223927
21.7500000000 22.0836477965
22.2500000000 22.9496732003
22.7500000000 23.8156986041
23.2500000000 24.6817240079
23.7500000000 25.5477494116
10.2500000000 0.4330127019
10.7500000000 1.2990381057
11.2500000000 2.1650635095
11.7500000000 3.0310889132
12.2500000000 3.8971143170
12.7500000000 4.7631397208
13.2500000000 5.6291651246
13.7500000000 6.4951905284
14.2500000000 7.3612159322
14.7500000000 8.2272413360
15.2500000000 9.0932667397
15.7500000000 9.9592921435
16.2500000000 10.8253175473
16.7500000000 11.6913429511
17.2500000000 12.5573683549
17.7500000000 13.4233937587
18.2500000000 14.2894191624
18.7500000000 15.1554445662
19.2500000000 16.0214699700
19.7500000000 16.8874953738
20.2500000000 17.7535207776
20.7500000000 18.6195461814
21.2500000000 19.4855715851
21.7500000000 20.3515969889
22.2500000000 21.2176223927
22.7500000000 22.0836477965
23.2500000000 22.9496732003
23.7500000000 23.8156986041
24.2500000000 24.6817240079
24.7500000000 25.5477494116
11.2500000000 0.4330127019
11.7500000000 1.2990381057
12.2500000000 2.1650635095
12.7500000000 3.0310889132
